date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016/7/1 0:00,5827,2009,1599,462,4203,1340,30531
2016/7/1 0:15,5760,2076,1492,426,4264,1401,30460
2016/7/1 0:30,5760,1942,1492,391,4234,1310,30038
2016/7/1 0:45,5760,1942,1492,426,4234,1310,27013
2016/7/1 1:00,5693,2076,1492,426,4142,1371,27787
2016/7/1 1:15,5492,1942,1457,391,4112,1279,27717
2016/7/1 1:30,5358,1875,1350,355,3929,1340,27646
2016/7/1 1:45,5157,1808,1350,320,3807,1279,27084
2016/7/1 2:00,5157,1741,1279,355,3777,1218,27787
2016/7/1 2:15,5157,1808,1350,426,3777,1188,27506
2016/7/1 2:30,5157,1808,1315,391,3777,1249,27857
2016/7/1 2:45,5157,1942,1350,426,3807,1279,27013
2016/7/1 3:00,5090,1942,1279,391,3807,1279,25044
2016/7/1 3:15,5224,2009,1457,533,3807,1249,24551
2016/7/1 3:30,5291,1808,1457,426,3777,1218,23566
2016/7/1 3:45,5358,1942,1492,462,3807,1310,21526
2016/7/1 4:00,5358,1942,1492,462,3868,1279,21948
2016/7/1 4:15,5492,2009,1492,462,3929,1340,21456
2016/7/1 4:30,5492,1942,1492,426,3929,1340,22792
2016/7/1 4:45,5492,2076,1492,497,3990,1310,21034
2016/7/1 5:00,5626,2143,1528,533,4051,1371,21174
2016/7/1 5:15,5961,2344,1670,604,4234,1492,20823
2016/7/1 5:30,6162,2411,1777,604,4325,1523,21174
2016/7/1 5:45,6631,2478,1990,746,4660,1675,21174
2016/7/1 6:00,7167,2947,2132,782,5026,1858,22792
2016/7/1 6:15,7502,3215,2239,888,5330,1980,23848
2016/7/1 6:30,7703,3349,2487,1031,5269,1919,24340
2016/7/1 6:45,7435,3148,2310,959,5056,1888,23144
2016/7/1 7:00,7435,3282,2310,1031,5087,2224,23144
2016/7/1 7:15,7636,3282,2274,1066,5330,2071,23777
2016/7/1 7:30,7636,3416,2310,1102,5269,1919,23848
2016/7/1 7:45,7569,3282,2310,1066,5239,1919,23988
2016/7/1 8:00,5559,3014,2452,1173,2955,1432,21667
2016/7/1 8:15,5224,2880,2381,1173,2802,1401,22089
2016/7/1 8:30,5157,2813,2310,1173,2833,1432,22370
2016/7/1 8:45,5090,2411,1812,888,2741,1462,16391
2016/7/1 9:00,4555,2545,1919,817,2680,1371,17446
2016/7/1 9:15,4555,2344,1777,782,2711,1401,17727
2016/7/1 9:30,4689,2545,1883,853,2802,1462,18501
2016/7/1 9:45,4689,2411,1919,888,2802,1371,19275
2016/7/1 10:00,4957,2545,1990,853,2955,1492,19979
2016/7/1 10:15,5425,2679,2203,888,3137,1553,18501
2016/7/1 10:30,5492,2679,2168,853,3259,1553,18572
2016/7/1 10:45,5894,2746,2381,959,3411,1553,19416
2016/7/1 11:00,5760,2545,2203,853,3442,1492,20119
2016/7/1 11:15,5626,2746,2168,853,3350,1614,19768
2016/7/1 11:30,4287,2143,1137,426,3168,1645,19768
2016/7/1 11:45,4287,2411,1564,426,3107,1584,20330
2016/7/1 12:00,4689,2545,1812,853,2833,1523,19205
2016/7/1 12:15,4689,2612,1919,888,2741,1553,17727
2016/7/1 12:30,4689,2679,1883,853,2863,1584,18642
