epoch,training_loss,validation_loss
1,0.127450267,0.231432801
2,0.103990176,0.164953455
3,0.072674474,0.124429698
4,0.052139421,0.099447799
5,0.011911562,0.074469
6,0.001734213,0.032996193
7,0.001650761,0.021557848
8,0.001474613,0.011234231
9,0.001436927,0.009816325
10,0.00133246,0.005323766
11,0.001359965,0.004305297
12,0.001362309,0.00351182
13,0.001393799,0.003113105
14,0.001428847,0.002778904
15,0.001394832,0.002514143
16,0.001378859,0.002280155
17,0.001336341,0.002127599
18,0.001318881,0.0020427
19,0.001382707,0.001905826
20,0.004552977,0.002226516
21,0.002355594,0.002032526
22,0.001441956,0.002112177
23,0.001520892,0.002010127
24,0.001457776,0.001744984
25,0.001345029,0.001897479
26,0.001348215,0.00199701
27,0.001289963,0.001958233
28,0.001179785,0.001664667
29,0.001341676,0.001723419
30,0.001181207,0.00196178
31,0.001286606,0.001836381
32,0.001327581,0.002223888
33,0.001264358,0.001843502
34,0.001325501,0.001972073
35,0.00129784,0.00206502
36,0.001203322,0.002275998
37,0.001304375,0.001864656
38,0.001287645,0.001750532
39,0.001320717,0.002166147
40,0.001243831,0.001877422
41,0.001263558,0.002363179
42,0.001277192,0.002152768
43,0.001303158,0.001932483
44,0.00123048,0.000191813
45,0.001264742,0.001767378
46,0.001172433,0.001821237
47,0.001331321,0.001621327
48,0.001335244,0.001732477
49,0.001432467,0.001621384
50,0.001421737,0.001721744
